State,City,Order_Date,Restaurant_Name,Location,Category,Dish_Name,Price_INR,Rating,Rating_Count
Delhi,New Delhi,14-12-2025,Food Junction,East,Burger,Veg Burger,199,4.7,4153
Rajasthan,Udaipur,30-12-2025,Biryani House,West,North Indian,Paneer Butter Masala,249,3.5,2144
Maharashtra,Pune,29-11-2024,Domino's,Central,Chinese,Hakka Noodles,399,4.8,349
Tamil Nadu,Coimbatore,17-04-2025,Cafe Aroma,Sector 18,Chinese,Hakka Noodles,399,4.8,4984
Uttar Pradesh,Kanpur,13-01-2025,Biryani House,Sector 18,Beverages,Lassi,249,5,1764
Rajasthan,Jaipur,20-04-2024,Domino's,North,South Indian,Idli,149,4,2843
Tamil Nadu,Madurai,16-05-2024,Spice Hub,Central,Beverages,Mango Shake,199,3.8,4739
Tamil Nadu,Coimbatore,27-03-2025,Roll Nation,Sector 18,Chinese,Fried Rice,599,3.5,3307
Maharashtra,Nagpur,01-09-2024,Roll Nation,East,North Indian,Paneer Butter Masala,599,4.1,2270
Madhya Pradesh,Bhopal,11-04-2024,Tandoori Treat,MG Road,Dessert,Gulab Jamun,699,3.9,3554
Delhi,New Delhi,15-11-2024,Royal Kitchen,Banjara Hills,Burger,Aloo Tikki Burger,149,4.4,1767
Tamil Nadu,Chennai,14-02-2025,Tandoori Treat,Sector 18,North Indian,Dal Makhani,149,4.6,554
Maharashtra,Nagpur,11-01-2024,Biryani House,MG Road,Burger,Cheese Burger,99,3.8,1782
Uttar Pradesh,Kanpur,15-05-2025,Subway,Central,Burger,Cheese Burger,499,3.8,1549
West Bengal,Kolkata,24-09-2025,Pizza Hut,Sector 18,Dessert,Ice Cream,299,4.9,3523
Telangana,Warangal,08-11-2024,Burger King,Central,Burger,Cheese Burger,299,4.5,706
Rajasthan,Udaipur,18-11-2025,Burger King,MG Road,Chinese,Fried Rice,399,4.5,4125
Telangana,Hyderabad,20-02-2025,KFC,Banjara Hills,Beverages,Cold Coffee,399,3.8,459
Madhya Pradesh,Bhopal,29-01-2024,Tandoori Treat,Koramangala,Burger,Cheese Burger,199,3.7,2903
Karnataka,Mangalore,30-07-2024,Food Junction,North,North Indian,Paneer Butter Masala,249,4.5,2213
Karnataka,Bengaluru,27-12-2024,Biryani House,Banjara Hills,South Indian,Idli,599,4.7,2895
Gujarat,Ahmedabad,09-05-2024,Pizza Hut,Koramangala,Biryani,Paneer Biryani,399,3.7,2590
West Bengal,Siliguri,19-12-2024,Royal Kitchen,Central,Beverages,Cold Coffee,349,5,3609
Uttar Pradesh,Lucknow,14-03-2024,Food Junction,South,South Indian,Masala Dosa,199,4.1,2476
Telangana,Hyderabad,25-08-2024,Pizza Hut,Central,Chinese,Fried Rice,299,4.3,514
Gujarat,Surat,20-01-2025,Burger King,Sector 18,Burger,Veg Burger,299,4.5,2210
Maharashtra,Pune,05-10-2025,Cafe Aroma,Central,Chinese,Manchurian,499,4.5,4545
Maharashtra,Pune,21-02-2024,Domino's,North,North Indian,Dal Makhani,349,4.8,3455
Tamil Nadu,Madurai,13-05-2025,Subway,North,Biryani,Hyderabadi Biryani,149,4.3,2068
Tamil Nadu,Coimbatore,01-04-2024,Cafe Aroma,East,North Indian,Naan,149,4.8,2108
Uttar Pradesh,Lucknow,25-03-2025,Tandoori Treat,South,North Indian,Naan,199,4.6,2995
Telangana,Warangal,25-05-2024,Roll Nation,East,Dessert,Gulab Jamun,249,4.6,617
Delhi,New Delhi,22-10-2024,Spice Hub,MG Road,Beverages,Mango Shake,349,4.6,146
Maharashtra,Mumbai,08-12-2025,Burger King,South,Biryani,Hyderabadi Biryani,349,4.7,4182
Tamil Nadu,Chennai,10-07-2025,Tandoori Treat,East,Beverages,Cold Coffee,599,4.2,4462
Uttar Pradesh,Lucknow,06-07-2024,Food Junction,Koramangala,South Indian,Masala Dosa,499,4.6,646
Madhya Pradesh,Indore,24-06-2025,KFC,Central,Pizza,Pepper Paneer,149,3.6,4826
Telangana,Hyderabad,17-11-2024,Spice Hub,Central,Dessert,Brownie,349,3.7,650
Karnataka,Mysuru,02-07-2024,Spice Hub,Koramangala,South Indian,Idli,699,4.8,3943
Gujarat,Ahmedabad,20-08-2024,Royal Kitchen,South,Chinese,Fried Rice,349,3.6,2960
Delhi,New Delhi,27-09-2025,Food Junction,MG Road,Beverages,Cold Coffee,99,4.5,1588
Uttar Pradesh,Kanpur,27-03-2024,Royal Kitchen,West,Pizza,Margherita,199,4.7,3072
Telangana,Warangal,17-02-2024,Pizza Hut,Koramangala,Burger,Veg Burger,299,4.1,4787
Gujarat,Vadodara,27-07-2024,Biryani House,West,North Indian,Paneer Butter Masala,199,4.5,3018
Karnataka,Mangalore,21-07-2025,Cafe Aroma,West,Beverages,Lassi,249,3.8,1074
Karnataka,Mangalore,29-11-2024,Tandoori Treat,Central,Burger,Veg Burger,499,4.5,941
Karnataka,Mysuru,29-01-2024,Burger King,MG Road,North Indian,Paneer Butter Masala,199,4.6,2634
West Bengal,Kolkata,22-05-2024,Pizza Hut,Banjara Hills,Burger,Aloo Tikki Burger,499,4.2,1307
Rajasthan,Jaipur,19-06-2024,Domino's,Koramangala,Biryani,Veg Biryani,699,4.1,4036
Maharashtra,Nagpur,23-06-2025,Domino's,West,Dessert,Gulab Jamun,249,5,4710
Delhi,New Delhi,11-05-2024,Burger King,East,Dessert,Gulab Jamun,199,4.5,4298
Madhya Pradesh,Indore,15-12-2025,Biryani House,North,North Indian,Naan,199,4.6,810
Uttar Pradesh,Lucknow,30-12-2025,Tandoori Treat,Sector 18,Biryani,Paneer Biryani,149,4.1,1254
Rajasthan,Jaipur,17-10-2024,Food Junction,North,Dessert,Gulab Jamun,299,4.2,2559
Tamil Nadu,Coimbatore,17-08-2025,Pizza Hut,South,South Indian,Vada,599,3.9,2087
Tamil Nadu,Madurai,07-08-2025,Food Junction,West,Burger,Veg Burger,249,3.5,4476
Uttar Pradesh,Noida,24-03-2024,Royal Kitchen,Sector 18,Dessert,Gulab Jamun,249,4.7,4574
West Bengal,Kolkata,23-01-2024,Food Junction,Koramangala,South Indian,Idli,149,4.9,630
Karnataka,Mysuru,09-12-2025,Tandoori Treat,South,Beverages,Mango Shake,149,3.7,1069
Delhi,New Delhi,07-02-2025,Pizza Hut,Andheri,Beverages,Lassi,349,3.7,531
Gujarat,Vadodara,28-07-2025,Royal Kitchen,Koramangala,South Indian,Masala Dosa,399,3.6,4740
Madhya Pradesh,Bhopal,21-09-2024,Royal Kitchen,MG Road,North Indian,Naan,349,4.9,467
Uttar Pradesh,Noida,09-11-2024,Biryani House,Andheri,North Indian,Paneer Butter Masala,249,4.4,2346
Madhya Pradesh,Bhopal,17-03-2025,Royal Kitchen,Sector 18,Beverages,Cold Coffee,599,4.9,1151
Rajasthan,Udaipur,22-05-2025,Pizza Hut,Banjara Hills,North Indian,Dal Makhani,99,4.1,4078
Karnataka,Mysuru,29-12-2024,KFC,MG Road,Chinese,Manchurian,149,4.3,2328
Maharashtra,Nagpur,20-01-2024,Food Junction,East,North Indian,Dal Makhani,399,3.6,1155
Madhya Pradesh,Indore,10-09-2024,Royal Kitchen,Sector 18,Beverages,Cold Coffee,699,4.4,4643
Telangana,Warangal,25-04-2025,Cafe Aroma,MG Road,Biryani,Paneer Biryani,399,4,1954
Gujarat,Surat,05-10-2025,Cafe Aroma,Andheri,Beverages,Mango Shake,499,4.2,3098
Maharashtra,Nagpur,19-08-2024,Royal Kitchen,MG Road,Dessert,Ice Cream,99,4.1,3417
West Bengal,Kolkata,01-09-2025,Cafe Aroma,Central,Chinese,Fried Rice,249,4.1,1587
Rajasthan,Jaipur,12-01-2024,Biryani House,Sector 18,Biryani,Veg Biryani,249,3.7,206
Karnataka,Mangalore,23-06-2025,Pizza Hut,Andheri,Pizza,Pepper Paneer,249,4.1,560
Madhya Pradesh,Indore,25-08-2024,Domino's,Sector 18,Burger,Veg Burger,399,4.9,3615
Madhya Pradesh,Bhopal,22-07-2024,Tandoori Treat,Andheri,Chinese,Fried Rice,699,4.5,3174
Delhi,New Delhi,28-07-2024,Spice Hub,Andheri,South Indian,Vada,199,4.8,1673
Delhi,New Delhi,23-03-2025,Domino's,Central,South Indian,Vada,599,3.8,1226
West Bengal,Kolkata,04-01-2025,Food Junction,Central,South Indian,Idli,249,4,3561
Tamil Nadu,Coimbatore,23-05-2024,Burger King,Sector 18,North Indian,Paneer Butter Masala,99,4.7,2429
Uttar Pradesh,Lucknow,24-05-2024,Royal Kitchen,Koramangala,Dessert,Gulab Jamun,699,3.7,1859
Tamil Nadu,Chennai,07-05-2025,Pizza Hut,Sector 18,Burger,Aloo Tikki Burger,149,4.8,1179
Uttar Pradesh,Kanpur,01-08-2024,Food Junction,Sector 18,Burger,Aloo Tikki Burger,149,5,1513
Delhi,New Delhi,02-02-2024,Pizza Hut,West,Burger,Aloo Tikki Burger,299,3.9,564
Tamil Nadu,Chennai,12-09-2024,Tandoori Treat,North,Biryani,Hyderabadi Biryani,599,4.8,3315
Maharashtra,Nagpur,23-03-2025,Cafe Aroma,Banjara Hills,Beverages,Lassi,399,5,1257
Tamil Nadu,Coimbatore,16-06-2024,KFC,West,Pizza,Veg Farmhouse,499,4.1,2129
Tamil Nadu,Chennai,25-12-2024,KFC,South,Chinese,Fried Rice,199,3.9,4176
Madhya Pradesh,Bhopal,03-02-2025,Tandoori Treat,South,Burger,Veg Burger,299,4.2,1119
Delhi,New Delhi,18-06-2025,Burger King,Central,North Indian,Naan,249,3.9,3624
Rajasthan,Udaipur,11-02-2024,Cafe Aroma,South,Pizza,Margherita,399,5,263
Telangana,Hyderabad,12-12-2025,Domino's,North,Pizza,Margherita,149,4.4,2188
Madhya Pradesh,Indore,05-01-2024,Royal Kitchen,Koramangala,Chinese,Manchurian,699,3.7,27
Gujarat,Ahmedabad,20-02-2025,Pizza Hut,West,North Indian,Dal Makhani,399,3.7,2787
Madhya Pradesh,Indore,15-09-2025,Pizza Hut,West,Beverages,Cold Coffee,199,4.7,195
Maharashtra,Nagpur,26-11-2024,Domino's,Andheri,Biryani,Paneer Biryani,99,4.1,1832
Rajasthan,Udaipur,17-02-2025,KFC,West,Biryani,Paneer Biryani,499,4.3,4927
Madhya Pradesh,Bhopal,05-06-2024,Royal Kitchen,MG Road,Burger,Aloo Tikki Burger,599,4.7,3134
Uttar Pradesh,Kanpur,04-12-2025,Burger King,North,Chinese,Hakka Noodles,99,4.8,3256
Uttar Pradesh,Kanpur,13-03-2025,Food Junction,Koramangala,Chinese,Fried Rice,299,5,3767
Gujarat,Vadodara,22-10-2025,Tandoori Treat,MG Road,Burger,Veg Burger,149,4.4,2679
Rajasthan,Udaipur,14-09-2025,Domino's,North,Beverages,Lassi,399,3.9,2312
Maharashtra,Nagpur,06-09-2024,Tandoori Treat,Banjara Hills,Dessert,Gulab Jamun,149,4.6,1311
West Bengal,Siliguri,31-03-2025,Cafe Aroma,East,South Indian,Idli,349,3.5,1919
Uttar Pradesh,Kanpur,18-08-2025,Cafe Aroma,West,Chinese,Hakka Noodles,199,4.4,254
Delhi,New Delhi,22-03-2024,Tandoori Treat,Central,North Indian,Dal Makhani,299,3.7,4286
Uttar Pradesh,Noida,31-07-2025,Royal Kitchen,MG Road,Pizza,Veg Farmhouse,249,3.8,1006
Rajasthan,Jaipur,05-08-2025,Roll Nation,Sector 18,North Indian,Paneer Butter Masala,99,4.9,4879
West Bengal,Kolkata,27-06-2025,Domino's,East,Burger,Aloo Tikki Burger,299,4.3,4430
Delhi,New Delhi,31-07-2024,Subway,Sector 18,Burger,Cheese Burger,249,4.7,2606
Delhi,New Delhi,23-07-2025,Roll Nation,West,Beverages,Cold Coffee,499,4.2,4528
West Bengal,Siliguri,24-09-2024,Domino's,Koramangala,Dessert,Ice Cream,249,3.6,271
Madhya Pradesh,Indore,14-06-2025,Subway,Sector 18,Beverages,Cold Coffee,149,4,2291
Madhya Pradesh,Bhopal,30-09-2025,Domino's,West,South Indian,Masala Dosa,99,4.8,2017
West Bengal,Siliguri,13-09-2025,KFC,West,Dessert,Brownie,499,4.9,1375
Gujarat,Vadodara,31-10-2024,Roll Nation,East,Beverages,Cold Coffee,99,5,891
Madhya Pradesh,Bhopal,18-06-2025,Burger King,North,Biryani,Hyderabadi Biryani,349,4.9,820
Maharashtra,Pune,23-04-2024,Tandoori Treat,North,Burger,Veg Burger,499,4.8,3075
Telangana,Warangal,22-02-2025,Biryani House,Andheri,Biryani,Paneer Biryani,699,4.5,3152
Tamil Nadu,Chennai,21-03-2025,Royal Kitchen,MG Road,North Indian,Dal Makhani,349,4,4111
Maharashtra,Nagpur,28-09-2024,Subway,MG Road,Beverages,Cold Coffee,299,3.6,2591
Gujarat,Ahmedabad,01-09-2024,Cafe Aroma,East,Burger,Aloo Tikki Burger,399,4.6,4444
Tamil Nadu,Madurai,23-08-2024,Royal Kitchen,Andheri,Burger,Veg Burger,349,4.3,3804
Tamil Nadu,Madurai,02-01-2025,Subway,West,North Indian,Naan,349,4.3,3280
Tamil Nadu,Coimbatore,27-10-2024,Pizza Hut,South,Biryani,Hyderabadi Biryani,99,4.2,368
Uttar Pradesh,Kanpur,12-04-2025,Food Junction,Andheri,Pizza,Pepper Paneer,299,4.7,4445
Uttar Pradesh,Noida,14-07-2025,Biryani House,West,Pizza,Margherita,199,4.8,1247
Delhi,New Delhi,27-06-2025,Subway,West,Pizza,Margherita,149,4.2,885
Rajasthan,Udaipur,18-06-2024,Food Junction,Andheri,Beverages,Mango Shake,299,3.8,796
Telangana,Hyderabad,08-06-2025,Roll Nation,Sector 18,Dessert,Gulab Jamun,149,4.4,2901
Tamil Nadu,Chennai,26-09-2025,Tandoori Treat,Sector 18,South Indian,Masala Dosa,399,3.9,2481
Telangana,Warangal,18-04-2024,Tandoori Treat,Central,Chinese,Hakka Noodles,149,4.2,4654
Telangana,Warangal,25-12-2025,Food Junction,North,Biryani,Paneer Biryani,699,4.8,3037
Rajasthan,Udaipur,26-05-2024,Royal Kitchen,South,South Indian,Masala Dosa,399,3.6,4990
Gujarat,Surat,23-01-2025,Royal Kitchen,Banjara Hills,Dessert,Ice Cream,599,4.2,456
Maharashtra,Mumbai,11-07-2025,Subway,West,North Indian,Dal Makhani,349,3.5,3197
Karnataka,Mangalore,03-09-2025,Food Junction,Central,South Indian,Vada,349,4.7,1380
Karnataka,Bengaluru,22-11-2024,Subway,East,Beverages,Mango Shake,99,4.7,3411
Uttar Pradesh,Kanpur,15-01-2025,Food Junction,South,Biryani,Hyderabadi Biryani,149,3.9,1323
Madhya Pradesh,Indore,24-03-2025,Cafe Aroma,South,Beverages,Cold Coffee,249,4.8,3125
Uttar Pradesh,Lucknow,07-09-2024,Cafe Aroma,West,Dessert,Gulab Jamun,99,5,3794
Telangana,Hyderabad,14-09-2025,Pizza Hut,South,South Indian,Idli,99,4.3,3548
Rajasthan,Jaipur,20-01-2024,Subway,MG Road,Pizza,Veg Farmhouse,699,4.4,4864
Maharashtra,Nagpur,24-07-2025,Burger King,South,South Indian,Masala Dosa,149,4.5,4980
Karnataka,Mysuru,15-09-2025,Domino's,Koramangala,Pizza,Veg Farmhouse,99,4.9,1800
Rajasthan,Udaipur,19-07-2025,Royal Kitchen,Koramangala,Burger,Cheese Burger,199,3.8,4334
Tamil Nadu,Chennai,21-11-2024,Biryani House,East,Biryani,Veg Biryani,399,3.6,2644
Karnataka,Mangalore,12-06-2025,Cafe Aroma,MG Road,Beverages,Mango Shake,299,3.8,1454
Tamil Nadu,Coimbatore,27-02-2024,Cafe Aroma,South,Dessert,Gulab Jamun,299,4.9,4457
Delhi,New Delhi,23-12-2024,Burger King,West,Dessert,Brownie,199,4.5,1858
Gujarat,Surat,05-03-2025,Food Junction,Koramangala,Pizza,Veg Farmhouse,149,4.8,4347
Uttar Pradesh,Lucknow,30-03-2025,Spice Hub,MG Road,Chinese,Fried Rice,499,4.1,3498
Madhya Pradesh,Indore,22-11-2025,Subway,Central,South Indian,Idli,249,3.7,1646
Telangana,Warangal,04-05-2025,Pizza Hut,Andheri,South Indian,Idli,699,4,1994
Rajasthan,Jaipur,19-09-2024,Burger King,MG Road,North Indian,Dal Makhani,349,3.6,1413
Madhya Pradesh,Bhopal,07-09-2024,Domino's,MG Road,Pizza,Pepper Paneer,499,4.5,1690
Delhi,New Delhi,16-08-2024,Royal Kitchen,East,Dessert,Brownie,149,4.9,2411
Telangana,Hyderabad,12-12-2024,Food Junction,MG Road,Pizza,Margherita,349,4.5,87
Uttar Pradesh,Kanpur,10-02-2024,Domino's,Sector 18,Burger,Cheese Burger,599,4.8,1294
West Bengal,Siliguri,06-04-2025,Burger King,East,South Indian,Masala Dosa,349,4.8,657
West Bengal,Siliguri,27-06-2024,Subway,Andheri,Burger,Aloo Tikki Burger,99,3.9,4407
Madhya Pradesh,Bhopal,19-09-2024,Food Junction,North,South Indian,Idli,99,3.5,1657
Madhya Pradesh,Indore,18-04-2024,Roll Nation,Banjara Hills,Burger,Cheese Burger,199,3.9,639
Uttar Pradesh,Lucknow,20-03-2024,Food Junction,Central,South Indian,Idli,99,4.7,1023
Telangana,Warangal,05-11-2024,KFC,MG Road,Biryani,Veg Biryani,599,3.7,3807
Karnataka,Bengaluru,05-03-2025,Subway,Koramangala,Beverages,Cold Coffee,149,4.3,3928
Madhya Pradesh,Indore,13-09-2024,Burger King,Andheri,North Indian,Dal Makhani,99,4.6,4117
West Bengal,Siliguri,07-09-2025,Cafe Aroma,Banjara Hills,Dessert,Gulab Jamun,399,4.2,2817
Karnataka,Bengaluru,08-04-2024,Roll Nation,North,Beverages,Cold Coffee,199,4.2,129
West Bengal,Siliguri,09-04-2025,KFC,East,Pizza,Veg Farmhouse,399,4,1820
Uttar Pradesh,Lucknow,01-03-2025,Domino's,Banjara Hills,Chinese,Hakka Noodles,699,4.4,1259
Telangana,Warangal,30-06-2024,Food Junction,North,Burger,Aloo Tikki Burger,199,4.5,1468
Gujarat,Vadodara,01-05-2025,Subway,Banjara Hills,Beverages,Cold Coffee,99,3.8,4688
Madhya Pradesh,Indore,03-02-2025,Domino's,Andheri,Burger,Veg Burger,399,4.3,4065
Madhya Pradesh,Indore,31-01-2025,Subway,Andheri,South Indian,Masala Dosa,99,4,3023
Uttar Pradesh,Lucknow,06-10-2024,Spice Hub,West,Biryani,Hyderabadi Biryani,499,3.7,4874
Madhya Pradesh,Indore,09-10-2025,Spice Hub,North,Chinese,Fried Rice,599,3.8,1185
Delhi,New Delhi,21-12-2025,Biryani House,West,Biryani,Veg Biryani,149,3.6,3402
Delhi,New Delhi,11-07-2025,Pizza Hut,Andheri,Beverages,Mango Shake,399,3.5,1887
West Bengal,Siliguri,22-06-2024,Biryani House,South,Pizza,Pepper Paneer,349,3.8,2053
Madhya Pradesh,Indore,12-11-2024,Royal Kitchen,Koramangala,Burger,Veg Burger,199,3.7,445
Tamil Nadu,Madurai,19-04-2024,KFC,North,South Indian,Idli,99,4.5,95
Delhi,New Delhi,03-10-2025,Burger King,East,South Indian,Idli,299,4.9,2949
Telangana,Warangal,16-10-2025,Cafe Aroma,South,Dessert,Ice Cream,299,3.6,1963
Rajasthan,Jaipur,23-03-2024,Biryani House,Sector 18,Biryani,Veg Biryani,99,3.8,4666
Maharashtra,Nagpur,06-10-2025,Tandoori Treat,Koramangala,North Indian,Paneer Butter Masala,399,3.6,2671
West Bengal,Siliguri,08-12-2025,Biryani House,North,Beverages,Lassi,699,4.5,1477
Rajasthan,Jaipur,15-06-2024,Roll Nation,Andheri,Dessert,Brownie,299,4,2888
Gujarat,Surat,07-02-2024,Domino's,Andheri,South Indian,Masala Dosa,599,5,1083
West Bengal,Siliguri,31-07-2025,Subway,West,South Indian,Vada,399,3.5,4561
Telangana,Hyderabad,19-04-2025,Burger King,Central,Chinese,Fried Rice,99,4.9,218
Maharashtra,Mumbai,06-06-2024,KFC,Banjara Hills,Biryani,Paneer Biryani,199,3.9,1679
Telangana,Hyderabad,23-09-2025,Spice Hub,North,North Indian,Dal Makhani,99,3.6,3933
Gujarat,Vadodara,07-04-2024,Biryani House,Andheri,Biryani,Hyderabadi Biryani,249,4.4,1501
Telangana,Warangal,11-06-2025,Spice Hub,East,Chinese,Fried Rice,199,3.7,3740
Karnataka,Bengaluru,11-03-2024,Domino's,South,Pizza,Pepper Paneer,149,4.8,1105
Karnataka,Bengaluru,10-03-2025,Cafe Aroma,Koramangala,Burger,Aloo Tikki Burger,499,4.3,96
Rajasthan,Udaipur,05-07-2025,Burger King,East,Burger,Cheese Burger,699,3.8,2018
Delhi,New Delhi,30-01-2025,Royal Kitchen,Central,Burger,Aloo Tikki Burger,399,3.7,2941
Uttar Pradesh,Kanpur,13-03-2025,Food Junction,South,Chinese,Fried Rice,99,3.9,301
West Bengal,Siliguri,25-04-2025,Tandoori Treat,South,South Indian,Vada,599,4.5,3531
Gujarat,Surat,14-11-2024,Domino's,Banjara Hills,North Indian,Naan,699,4.5,3526
Gujarat,Vadodara,02-10-2025,Biryani House,South,Beverages,Lassi,349,4.1,2678
Delhi,New Delhi,06-07-2025,Pizza Hut,MG Road,Beverages,Lassi,99,4.3,3973
Gujarat,Surat,08-06-2025,Spice Hub,Koramangala,Burger,Cheese Burger,99,4.5,292
Karnataka,Mysuru,29-12-2025,Roll Nation,Banjara Hills,Beverages,Mango Shake,499,3.8,716
Maharashtra,Nagpur,26-12-2025,Cafe Aroma,West,Burger,Veg Burger,249,4.4,517
Delhi,New Delhi,03-05-2025,Cafe Aroma,Koramangala,Biryani,Hyderabadi Biryani,399,3.9,1738
Rajasthan,Udaipur,30-10-2025,Pizza Hut,Andheri,Dessert,Brownie,199,4.1,1432
Karnataka,Mangalore,14-07-2025,Burger King,South,Burger,Cheese Burger,399,4.3,1483
Delhi,New Delhi,02-07-2025,KFC,East,North Indian,Paneer Butter Masala,249,4.9,59
Karnataka,Bengaluru,21-02-2025,Subway,East,Chinese,Hakka Noodles,299,3.7,4909
Gujarat,Ahmedabad,22-02-2025,Spice Hub,Banjara Hills,Pizza,Veg Farmhouse,499,4.5,4397
Gujarat,Ahmedabad,12-08-2025,Spice Hub,MG Road,Burger,Cheese Burger,249,4.8,4814
Madhya Pradesh,Indore,21-08-2025,Domino's,Andheri,Pizza,Veg Farmhouse,499,3.7,1675
Maharashtra,Pune,04-08-2025,Burger King,South,Beverages,Lassi,249,3.6,512
West Bengal,Kolkata,05-04-2025,Burger King,North,Burger,Aloo Tikki Burger,199,3.7,113
Telangana,Hyderabad,06-09-2025,Tandoori Treat,Sector 18,North Indian,Paneer Butter Masala,249,3.9,805
Uttar Pradesh,Noida,12-08-2025,Spice Hub,Sector 18,Pizza,Margherita,499,4.5,868
Telangana,Hyderabad,08-02-2025,Roll Nation,North,North Indian,Dal Makhani,99,4.8,4883
Maharashtra,Nagpur,04-11-2025,Cafe Aroma,Andheri,North Indian,Naan,349,4,3655
Telangana,Hyderabad,23-08-2024,KFC,South,South Indian,Idli,149,4.1,485
Maharashtra,Mumbai,26-09-2024,KFC,South,North Indian,Dal Makhani,299,4,4311
Madhya Pradesh,Bhopal,18-12-2025,Royal Kitchen,North,North Indian,Dal Makhani,699,3.8,1599
Madhya Pradesh,Indore,29-10-2025,Pizza Hut,Andheri,Burger,Aloo Tikki Burger,99,3.9,3110
Delhi,New Delhi,18-01-2024,KFC,Banjara Hills,North Indian,Paneer Butter Masala,349,4.1,2850
Delhi,New Delhi,08-12-2025,Roll Nation,West,South Indian,Vada,149,3.7,3522
Gujarat,Ahmedabad,07-06-2024,Subway,South,Dessert,Gulab Jamun,699,4.6,3438
Karnataka,Mangalore,06-03-2024,Spice Hub,West,North Indian,Dal Makhani,149,4.5,1870
Maharashtra,Pune,28-09-2024,Burger King,Koramangala,Chinese,Hakka Noodles,349,4.2,4978
Uttar Pradesh,Kanpur,20-02-2025,Burger King,MG Road,Burger,Cheese Burger,249,4.8,3733
Karnataka,Bengaluru,11-07-2024,Domino's,Sector 18,Burger,Veg Burger,399,3.5,4319
Madhya Pradesh,Bhopal,12-06-2024,Royal Kitchen,Koramangala,Chinese,Hakka Noodles,399,4.9,1027
Karnataka,Mangalore,24-11-2025,Royal Kitchen,East,Biryani,Hyderabadi Biryani,349,4.8,3489
West Bengal,Kolkata,14-01-2025,Tandoori Treat,North,Dessert,Brownie,699,4.3,4671
Maharashtra,Mumbai,06-06-2025,Subway,Andheri,Beverages,Mango Shake,99,4.5,2431
Karnataka,Mangalore,10-12-2025,Food Junction,Banjara Hills,Biryani,Veg Biryani,249,4.6,2104
Tamil Nadu,Chennai,19-10-2025,KFC,MG Road,Beverages,Cold Coffee,149,4.1,2236
Karnataka,Bengaluru,03-11-2024,KFC,Andheri,Dessert,Ice Cream,499,4.8,2889
West Bengal,Kolkata,25-11-2024,Spice Hub,East,Biryani,Hyderabadi Biryani,149,4.5,3224
Uttar Pradesh,Lucknow,28-10-2024,Cafe Aroma,MG Road,Dessert,Brownie,599,3.8,4141
Madhya Pradesh,Indore,20-05-2024,Pizza Hut,West,Chinese,Manchurian,349,4.4,4805
Rajasthan,Jaipur,29-10-2024,Royal Kitchen,West,Pizza,Veg Farmhouse,299,3.9,4150
Karnataka,Bengaluru,07-09-2025,Royal Kitchen,West,Pizza,Margherita,349,4.7,3150
Telangana,Hyderabad,27-05-2024,Pizza Hut,North,Burger,Veg Burger,599,4.3,677
West Bengal,Kolkata,22-09-2024,Roll Nation,Sector 18,North Indian,Paneer Butter Masala,199,3.7,4873
West Bengal,Kolkata,30-04-2025,Royal Kitchen,MG Road,Beverages,Mango Shake,149,4.3,4129
Madhya Pradesh,Bhopal,01-10-2025,Cafe Aroma,Sector 18,South Indian,Idli,199,3.8,1669
Tamil Nadu,Madurai,14-11-2025,KFC,North,Pizza,Margherita,599,4.4,1431
Telangana,Hyderabad,02-03-2025,Biryani House,East,Chinese,Fried Rice,349,3.8,1257
Maharashtra,Pune,02-09-2024,Domino's,Banjara Hills,Burger,Aloo Tikki Burger,499,4.7,470
Maharashtra,Mumbai,05-02-2024,Burger King,Andheri,Chinese,Hakka Noodles,149,4.3,3942
Gujarat,Ahmedabad,07-07-2024,Food Junction,Central,North Indian,Naan,349,4.2,1621
Madhya Pradesh,Indore,07-12-2024,Royal Kitchen,Central,South Indian,Masala Dosa,249,4.7,992
Maharashtra,Mumbai,28-01-2024,Biryani House,MG Road,Dessert,Brownie,199,3.8,673
Tamil Nadu,Chennai,27-02-2024,KFC,North,Dessert,Gulab Jamun,699,4.9,118
Karnataka,Mysuru,11-07-2024,Spice Hub,South,Chinese,Manchurian,699,3.8,705
Tamil Nadu,Coimbatore,15-02-2025,Tandoori Treat,Banjara Hills,Beverages,Cold Coffee,99,4.3,601
Tamil Nadu,Coimbatore,05-10-2025,Biryani House,Andheri,Beverages,Lassi,599,4.9,3828
Telangana,Hyderabad,23-12-2025,Food Junction,Banjara Hills,Pizza,Veg Farmhouse,249,3.6,2429
Tamil Nadu,Coimbatore,09-09-2025,Spice Hub,South,South Indian,Masala Dosa,599,4.4,3507
Maharashtra,Pune,15-08-2024,Royal Kitchen,MG Road,Dessert,Gulab Jamun,199,4.9,3975
Rajasthan,Jaipur,29-03-2025,Cafe Aroma,MG Road,Biryani,Veg Biryani,149,4.2,1235
Rajasthan,Udaipur,14-05-2024,Pizza Hut,Sector 18,Biryani,Hyderabadi Biryani,349,4,4307
Madhya Pradesh,Bhopal,23-11-2024,KFC,Sector 18,Beverages,Lassi,249,4.4,1282
Uttar Pradesh,Noida,06-10-2024,Royal Kitchen,North,Chinese,Hakka Noodles,349,4.3,3519
Gujarat,Ahmedabad,20-05-2024,Subway,Banjara Hills,North Indian,Paneer Butter Masala,599,3.8,4929
Maharashtra,Mumbai,09-08-2025,Cafe Aroma,South,Chinese,Hakka Noodles,149,4.9,1262
